,Reward,Actor Loss,Critic Loss
0,16.32487,-21.97627182006836,193.26242065429688
1,16.739866,-17.800193786621094,135.55567626953126
2,16.42884,-23.234576606750487,137.5338607788086
3,16.472383,-17.678955841064454,82.27445068359376
4,16.419489,-23.53577423095703,71.47785873413086
5,16.804747,-20.575751113891602,105.68286361694337
6,15.735664,-15.489777565002441,115.8364501953125
7,16.262344,-21.73331489562988,54.04588356018066
8,16.389614,-20.601811599731445,63.46848373413086
9,16.333607,-16.114144134521485,90.2894287109375
10,16.251747,-20.95684051513672,88.91196899414062
11,16.24989,-23.30924758911133,85.17654075622559
12,16.643066,-16.188569450378417,86.19308395385742
13,16.102203,-22.565301132202148,71.24607677459717
14,16.088375,-16.396974945068358,117.71609725952149
15,16.592175,-12.82317008972168,132.2782455444336
16,16.22333,-24.024020767211915,81.82735671997071
17,16.886356,-14.58606185913086,75.175244140625
18,16.333263,-25.69546012878418,112.0492950439453
19,16.334236,-19.862141036987303,93.53590927124023
20,16.299686,-12.997024631500244,139.1301284790039
21,16.268671,-25.03580322265625,120.6462173461914
22,16.639484,-12.537921142578124,127.62407836914062
23,16.783302,-17.853410148620604,56.26379547119141
24,16.359161,-23.035600662231445,72.280513381958
25,16.254951,-13.06675682067871,105.46613311767578
26,16.871367,-23.64152603149414,102.84028625488281
27,16.63159,-19.66396141052246,76.36828308105468
28,16.786543,-19.355478286743164,55.697567749023435
29,16.646732,-20.404967880249025,27.554691314697266
30,16.39671,-17.152538681030272,47.95502281188965
31,16.30438,-18.1813663482666,44.30212059020996
32,16.201092,-19.530944061279296,27.51320114135742
33,16.122902,-19.879536437988282,35.21668872833252
34,16.090052,-18.111192512512208,29.06758804321289
35,16.252922,-19.01138801574707,33.1302978515625
36,16.256458,-18.13592414855957,22.51033000946045
37,16.505547,-21.651433563232423,49.70373802185058
38,16.322168,-17.959486389160155,42.34294395446777
39,16.339928,-23.533713150024415,70.22728652954102
40,16.54128,-15.50022850036621,78.63491363525391
41,15.887042,-26.047047805786132,93.34556522369385
42,16.401134,-18.040120315551757,45.66940441131592
43,16.367321,-12.273539924621582,122.04285049438477
44,16.823006,-18.274581909179688,63.75757064819336
45,16.286167,-17.576572799682616,49.57684555053711
46,16.606592,-23.40758171081543,78.88295211791993
47,16.550138,-15.246976089477538,57.61059646606445
48,16.119205,-22.05225372314453,50.98710136413574
49,16.602821,-18.064414978027344,61.21282844543457
