Number of SFC,Average Placement Reward,Average Power Consumption,Average Exceeded Penalty,Average Episode Reward,Average Acceptance Ratio,Average SFC End-to-End Latency,Average Node Resource Utilization,Average Running Time
10,1107.3,191.444,35.25316,8.8060284,0.8059999999999999,443.656,0.541579091568077,0.08564384460449219
20,1076.851,191.5465,64.98611000000001,16.4063678,0.745,438.426,0.5633977415330255,0.16882072448730467
30,1060.0793333333334,191.76066666666665,100.59996000000001,23.031561200000002,0.7253333333333333,441.4826666666666,0.6088756897708525,0.24678637981414794
40,1004.9019999999998,185.4495,117.61038,28.073684800000002,0.6855000000000001,419.43800000000005,0.6633799634117848,0.3230443286895752
50,973.3975999999999,180.6609,139.714396,32.6511152,0.6756,406.85960000000006,0.6949563435749225,0.4036904239654541
