Number of SFC,Average Placement Reward,Average Power Consumption,Average Exceeded Penalty,Average Episode Reward,Average Acceptance Ratio,Average SFC End-to-End Latency,Average Node Resource Utilization,Average Running Time
10,1107.862,336.83050000000003,143.88522,6.271462799999999,0.7339999999999999,1002.2819999999999,0.4417505073294024,0.055353493690490724
20,1066.0739999999998,325.74,243.92110000000005,9.928258000000001,0.699,961.98,0.4341070092358994,0.1094458532333374
30,1002.9999999999999,318.7558333333334,333.70143333333334,10.516282,0.5980000000000001,936.3166666666667,0.4907458031576354,0.163132004737854
40,842.8710000000001,297.33275000000003,410.26551,5.410909600000001,0.4765,864.5210000000001,0.5719771300081048,0.21939202785491943
50,725.4708,279.1532,524.0435679999999,-3.8862984000000007,0.38799999999999996,803.8607999999999,0.6702221678542883,0.2706242370605469
