Number of SFC,Average Placement Reward,Average Power Consumption,Average Exceeded Penalty,Average Episode Reward,Average Acceptance Ratio,Average SFC End-to-End Latency,Average Node Resource Utilization,Average Running Time
10,214.384,147.38,116.56800000000001,-0.49564,0.132,318.72,1.0,0.04842353343963623
20,142.028,148.2415,276.46031,-5.6534762,0.066,323.006,1.0,0.09257657051086426
30,86.31933333333332,147.86566666666667,421.9366933333333,-14.5044908,0.04533333333333333,325.6626666666667,1.0,0.18941015720367432
40,68.69800000000001,150.843625,572.891745,-26.2014948,0.032999999999999995,338.17449999999997,1.0,0.2682426643371582
50,56.563599999999994,150.78629999999998,722.5369120000001,-40.8379806,0.0272,339.54519999999997,1.0,0.3359537982940674
