Number of SFC,Average Placement Reward,Average Power Consumption,Average Exceeded Penalty,Average Episode Reward,Average Acceptance Ratio,Average SFC End-to-End Latency,Average Node Resource Utilization,Average Running Time
10,326.57400000000007,125.583,79.83822,1.2115277999999998,0.20800000000000002,217.412,1.0,0.06520730018615722
20,172.425,118.90575000000001,203.20173000000003,-2.9936496,0.11599999999999999,210.903,1.0,0.1392660331726074
30,156.734,120.33533333333332,301.66371333333336,-7.957951400000001,0.10133333333333333,214.11466666666672,1.0,0.20817370414733888
40,104.3725,121.2815,410.71908500000006,-17.105123399999997,0.06849999999999999,220.576,1.0,0.272589750289917
50,102.65119999999999,121.8576,457.4294239999999,-23.831791199999998,0.06880000000000001,220.3584,1.0,0.33233840465545655
