Max SFC Length,Average Placement Reward,Average Power Consumption,Average Exceeded Penalty,Average Reward,Acceptance Ratio
8,-1121.275,374.695,288.0665,-1784.0365,0.13999999999999999
10,-1484.3,514.045,400.4175,-2398.7625,0.11499999999999999
12,-2033.95,673.515,538.2585,-3245.7235000000005,0.11000000000000001
14,-2586.75,1025.445,845.0010000000001,-4457.196,0.1
16,-2835.275,1339.065,1121.8729999999998,-5296.213000000001,0.065
