Max SFC Length,Average Placement Reward,Average Power Consumption,Average Exceeded Penalty,Average Reward,Average Acceptance Ratio
8,2467.8625,51.595,343.00145000000003,0.7500477298011476,0.655
10,2589.1375,52.7125,336.51685000000003,0.8300000107843346,0.6849999999999999
12,2946.9,59.455,389.2974,0.7328495789429837,0.585
16,3786.425,71.3875,482.35324999999995,0.8499999994630791,0.635
20,4795.1125,91.025,648.2407,0.81,0.635
24,5731.975,104.4025,765.8319500000001,0.8900000001463281,0.655
